,Energy,dEnergy,Data,dData,EXFOR_Entry,Year,Author,Dataset_Number,MT,dData_assumed,endf7-1,endf7-1_chi_squared,endf7-1_relative_error,endf8,endf8_chi_squared,endf8_relative_error
1512824,888000.0,nan,1.37,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3477035364,0.024856614453306333,1.6544041770164517,1.3477037392485296,0.024856162174878214,1.6543888765866859
1509228,888331.0,nan,1.28538,0.025936899999999995,12876002,1978,J.A.Harvey,12876002,1,0.025936899999999995,1.3482747225118,0.1525142218166518,-4.664829909043222,1.3482749271272472,0.1525152141675272,-4.664844377196619
1509229,889517.0,nan,1.35788,0.0259474,12876002,1978,J.A.Harvey,12876002,1,0.0259474,1.3503213289426,0.0022018972287773395,0.5597683229456974,1.3503215398890565,0.0022017743299415104,0.5597526135563631
1512825,890000.0,nan,1.38,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.351154812,0.04160224353776662,2.1348544033457357,1.351155025524768,0.04160162762383909,2.1348382628432283
1509230,890707.0,nan,1.329,0.025699499999999997,12876002,1978,J.A.Harvey,12876002,1,0.025699499999999997,1.3523748379246001,0.021260454405779325,-1.7284289288073393,1.3523750552234184,0.021260849693490583,-1.728444719024839
1510865,890930.0,6e-11,1.3236,0.022792000000000003,10251002,1971,C.A.Goulding,10251002,1,0.022792000000000003,1.352759655154,0.037306313123034014,-2.155568067313502,1.352759873643219,0.03730687218710456,-2.1555838705273076
1509231,891898.0,nan,1.36336,0.0257463,12876002,1978,J.A.Harvey,12876002,1,0.0257463,1.3544300725444,0.003097284051000564,0.6593125504681309,1.3544302962009183,0.003097128905486737,0.6592959286372164
1512826,892000.0,nan,1.44,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3546060876,0.36460601374894414,6.303966384153437,1.3546063118010065,0.36460409921134523,6.303948789774859
1509232,893092.0,nan,1.36462,0.025582299999999995,12876002,1978,J.A.Harvey,12876002,1,0.025582299999999995,1.3564904840776,0.0025833888717024887,0.5993050462073795,1.3564907141078326,0.0025832426762484504,0.5992879868340255
1512022,893778.0,1221.0,1.28989,0.044562,10050003,1970,J.W.Meadows,10050003,1,0.044562,1.3576742716084,0.10310819706210113,-4.992675564817021,1.3576745053005823,0.10310890801231261,-4.992691918124748
1512827,894000.0,nan,1.4,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3580573632,0.08795923908683567,3.0884289527483775,1.358057598077245,0.08795825395249612,3.08841112351476
1510866,894220.0,6e-11,1.3206,0.027421999999999995,10251002,1971,C.A.Goulding,10251002,1,0.027421999999999995,1.358437003516,0.05220767395047046,-2.7853336899736774,1.358437239567631,0.0522083253627853,-2.7853505826794
1509233,894288.0,nan,1.37822,0.025680799999999997,12876002,1978,J.A.Harvey,12876002,1,0.025680799999999997,1.3585543468864,0.015059418413150758,1.4475426145940056,1.358554583301023,0.01505905633564377,1.447524960770718
1509234,895487.0,nan,1.36999,0.025837900000000004,12876002,1978,J.A.Harvey,12876002,1,0.025837900000000004,1.3606233866086,0.003395533167322256,0.6884060265013308,1.360623629423628,0.003395357121667298,0.6883880577863912
1512023,895779.0,1220.0,1.45478,0.044817,10050003,1970,J.W.Meadows,10050003,1,0.044817,1.3611272728462,0.19570326669219468,6.880526826706393,1.3611275172199588,0.1957022453726465,6.880507637618118
1512828,896000.0,nan,1.4,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3615086388,0.07407924435144313,2.8271110518935303,1.3615088843534833,0.07407829918567589,2.827092506619541
1509235,896688.0,nan,1.36767,0.025814400000000005,12876002,1978,J.A.Harvey,12876002,1,0.025814400000000005,1.3626958776064,0.000958453172900108,0.36502072658626455,1.3626961268325093,0.0009583571295975683,0.36500237063504876
1510867,896880.0,6e-11,1.3919,0.027411000000000005,10251002,1971,C.A.Goulding,10251002,1,0.027411000000000005,1.363027200064,0.030412556132365667,2.1182849421232524,1.3630274503150281,0.03041202894134338,2.118266193266954
1512024,897780.0,1219.0,1.48058,0.04460100000000001,10050003,1970,J.W.Meadows,10050003,1,0.04460100000000001,1.364580274084,0.30169584566684843,8.5007623310301,1.3645805291393354,0.3016945189559468,8.500742051026297
1509236,897892.0,nan,1.38071,0.0257988,12876002,1978,J.A.Harvey,12876002,1,0.0257988,1.3647735455176,0.009844278860629585,1.1676995450813854,1.3647737959551238,0.009843969462142855,1.1676809806949349
1512829,898000.0,nan,1.29,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.3649599144,0.2809494383427659,-5.491730094722256,1.364960152006759,0.28095121944381984,-5.491746546340768
1509237,899097.0,nan,1.34113,0.0256609,12876002,1978,J.A.Harvey,12876002,1,0.0256609,1.3668529390666,0.025785128121929454,-1.8819097747388835,1.3668530463460515,0.025785343200009306,-1.8819174756800592
1510868,899540.0,6e-11,1.3619,0.027422999999999996,10251002,1971,C.A.Goulding,10251002,1,0.027422999999999996,1.367617396612,0.0011920148787115824,-0.4180552708793844,1.3676174512615547,0.0011920376664935131,-0.41805925014195267
1512025,899781.0,1218.0,1.36408,0.044779,10050003,1970,J.W.Meadows,10050003,1,0.044779,1.3680332753218,0.0003490114957894068,-0.2889750851177358,1.36803330133974,0.0003490160897472303,-0.28897698147176715
1512830,900000.0,nan,1.44,0.02,11163008,1968,C.T.Hibdon,11163008,1,0.02,1.36841119,0.2562478858608046,5.231527666768053,1.36841119,0.2562478858608046,5.231527666768053
